idx,ts,truth_ts,obs_target_yaw_deg,obs_gimbal_yaw_deg,obs_err_yaw_deg,truth_target_yaw_deg,truth_gimbal_yaw_deg,truth_err_yaw_deg,target_yaw_rate_dps,gimbal_yaw_rate_dps,detected,u_px,cx_px,f_px,yaw_rate_cmd_dps
0,1.5149999999999897,1.5149999999999897,-6.393526687672278,0.0,-6.393526687672278,-6.397568462459628,0.0,-6.397568462459617,1.4146099889427874,0.0,1,140.71428571428572,320.0,1600.0,-60.0
1,1.5549999999999888,1.5549999999999888,-6.33908601118992,-0.12244897959183676,-6.216637031598083,-6.340977814857468,-0.12244897959183676,-6.21852883526563,1.4149219483097124,-15.918367346938778,1,145.71428571428572,320.0,1600.0,-60.0
2,1.594999999999988,1.594999999999988,-6.287361938404928,-1.4644538819397588,-4.822908056465167,-6.284374742047293,-1.4644538819397588,-4.819920860107544,1.4152312487449152,-39.210380836560816,1,185.0,320.0,1600.0,-60.0
3,1.6349999999999871,1.6349999999999871,-6.220548271088177,-3.090303408869074,-3.130244862219115,-6.227759350458025,-3.090303408869074,-3.1374559415889394,1.4155378866703359,-41.434614534640865,1,232.5,320.0,1600.0,-60.0
4,1.6749999999999863,1.6749999999999863,-6.170546164120935,-4.780202810722703,-1.3903433533982366,-6.171131746661143,-4.780202810722703,-1.3909289359384331,1.4158418585363794,-42.855444722546814,1,281.1666666666667,320.0,1600.0,-42.71666666666665
5,1.7149999999999854,1.7149999999999854,-6.123102944368242,-6.470965902831728,0.34786295846348025,-6.114492037369539,-6.470965902831728,0.35647386546219195,1.4161431608220172,-37.570552140941196,1,329.7142857142857,320.0,1600.0,10.685714285714296
6,1.7549999999999846,1.7549999999999846,-6.060157339292147,-7.689067068746731,1.6289097294545911,-6.057840329436371,-7.689067068746731,1.6312267393103639,1.4164417900348865,-13.711265225102125,1,365.5,320.0,1600.0,50.050000000000004
7,1.7949999999999837,1.7949999999999837,-6.0093850317190345,-7.677653005234853,1.6682679735158104,-6.001176729853919,-7.677653005234853,1.676476275380935,1.416737742711391,14.732270484833958,1,366.6,320.0,1600.0,51.260000000000026
8,1.8349999999999829,1.8349999999999829,-5.947214398186816,-6.699178327100644,0.751963928913824,-5.944501345752427,-6.699178327100644,0.7546769813482115,1.4170310154167987,27.642447123027587,1,341.0,320.0,1600.0,23.1
9,1.874999999999982,1.874999999999982,-5.882390364911316,-5.621491743578252,-0.2608986213330695,-5.887814284398952,-5.621491743578252,-0.2663225408207097,1.4173216047453416,19.236333394735283,1,312.7142857142857,320.0,1600.0,-8.014285714285705
10,1.9149999999999812,1.9149999999999812,-5.8323047140100925,-5.151949311337172,-0.6803554026729159,-5.8311156531962,-5.151949311337172,-0.6791663418590304,1.4176095073203114,1.3192499084953835,1,301.0,320.0,1600.0,-20.900000000000002
11,1.9549999999999803,1.9549999999999803,-5.770169176539582,-5.394171021052771,-0.3759981554867977,-5.7744055596813615,-5.394171021052771,-0.38023453862859924,1.4178947197941572,-11.50458187701287,1,309.5,320.0,1600.0,-11.55
